0;1;2;3;4;5;6;7
"id";"nom";"code";"type";"niveauGravite";"geometry";"date_today";"date_today"
"105";"Bassin versant du Fresquel";"76_11_0013";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.40569,43.237186],[2.40569,43.237186]]]}";"21/05/2024";"21/05/2024"
"107";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.311766,43.115752],[2.311766,43.115752]]]}";"21/05/2024";"21/05/2024"
"108";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.311778,42.952109],[2.311778,42.952109]]]}";"21/05/2024";"21/05/2024"
"110";"Secteur Argent-Double et affluents rive gauche de l?Aude sur ce secteur";"76_11_0006";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.520379,43.201074],[2.520379,43.201074]]]}";"21/05/2024";"21/05/2024"
"111";"Secteur Argent-Double et affluents rive gauche de l?Aude sur ce secteur";"76_11_0006";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.70933,43.273715],[2.70933,43.273715]]]}";"21/05/2024";"21/05/2024"
"112";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.433648,43.022619],[2.433648,43.022619]]]}";"21/05/2024";"21/05/2024"
"114";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.353702,43.006555],[2.353702,43.006555]]]}";"21/05/2024";"21/05/2024"
"115";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.395015,42.923718],[2.395015,42.923718]]]}";"21/05/2024";"21/05/2024"
"117";"Bassin versant de l'Agly";"76_11_0002";"AEP";"Crise";"{"type":"Polygon","coordinates":[[[2.623979,42.919096],[2.623979,42.919096]]]}";"21/05/2024";"21/05/2024"
"122";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.463591,43.225571],[2.463591,43.225571]]]}";"21/05/2024";"21/05/2024"
